filter,beta_scaling,dim,mse_mean
BlockSF,false,8,0.20164034740309955
BlockSF,false,16,0.24010410442288851
BlockSF,false,32,0.28808847692459433
BlockSF,false,64,0.32571837122439945
BlockSF,true,8,0.19887733128761834
BlockSF,true,16,0.34740159613898425
BlockSF,true,32,0.515902795366976
BlockSF,true,64,0.6732402370244208
BlockSF,true,128,0.797563596699716
BlockSF,true,256,0.885290021711238
DiagSF,false,8,0.29341897514064735
DiagSF,false,16,0.33987642755829583
DiagSF,false,32,0.4031245430536848
DiagSF,false,64,0.5075036510376769
DiagSF,true,8,0.28624699731083014
DiagSF,true,16,0.45054938739551575
DiagSF,true,32,0.6248022029239261
DiagSF,true,64,0.7800328688607532
DiagSF,true,128,0.8850229164220533
FullSF,false,8,0.1977685785503757
FullSF,false,16,0.22255206539364086
FullSF,false,32,0.24271928206070886
FullSF,false,64,0.2729819429014598
FullSF,true,8,0.1965206961595772
FullSF,true,16,0.3247437790231851
FullSF,true,32,0.4762700131226368
FullSF,true,64,0.6288355120669044
FullSF,true,128,0.749654734906108
FullSF,true,256,0.855520424105949
