filter,sparse_input,beta,dim,mse_mean
DiagSF,false,0.1,8,0.2673151642254392
DiagSF,true,0.1,8,0.26534002420584135
DiagSF,false,0.05,32,0.474223500476591
DiagSF,false,0.07071067811865475,16,0.3631042116038303
DiagSF,true,0.1,32,0.5635371835511261
DiagSF,false,0.035355339059327376,64,0.5888001907438685
DiagSF,true,0.1,16,0.37511349207344885
DiagSF,true,0.1,64,0.7858724472000924
DiagSF,false,0.025,128,0.69960050117971
DiagSF,true,0.1,128,0.9233445629038841
DiagSF,false,0.017677669529663688,256,0.7986186091386993
DiagSF,false,0.0125,512,0.8778024718853276
DiagSF,true,0.1,256,0.8947496606250352
DiagSF,false,0.008838834764831844,1024,0.9309520492863511
DiagSF,false,0.00625,2048,0.9623692662216005
DiagSF,true,0.1,512,0.9167092459856131
DiagSF,true,0.1,1024,0.9623492489381819
DiagSF,true,0.1,2048,0.9855580601030915
BlockSF,false,0.1,8,0.24144699937444372
BlockSF,true,0.1,8,0.24226134780438413
BlockSF,false,0.05,32,0.4588757205694941
BlockSF,false,0.07071067811865475,16,0.3457591292663561
BlockSF,true,0.1,16,0.36903892672444205
BlockSF,true,0.1,32,0.5389611498756839
BlockSF,false,0.035355339059327376,64,0.5791265319866533
BlockSF,true,0.1,64,0.7016909363900823
BlockSF,false,0.025,128,0.6986374068856462
BlockSF,true,0.1,128,0.8374754664007859
BlockSF,false,0.017677669529663688,256,0.7987109258113937
BlockSF,false,0.0125,512,0.8768246958849825
BlockSF,true,0.1,256,0.8774980292485017
BlockSF,false,0.008838834764831844,1024,0.92902915829013
BlockSF,true,0.1,512,0.9196691977377773
BlockSF,false,0.00625,2048,0.9621159769020994
BlockSF,true,0.1,1024,0.9629667476095569
BlockSF,true,0.1,2048,0.984806898133504
FullSF,false,0.1,8,0.24173315713451735
FullSF,true,0.1,8,0.2422283881550501
FullSF,false,0.07071067811865475,16,0.33726145550074016
FullSF,false,0.05,32,0.4426148553854803
FullSF,true,0.1,16,0.3704786571223966
FullSF,true,0.1,32,0.5395678285662232
FullSF,false,0.035355339059327376,64,0.5601858927317451
FullSF,true,0.1,64,0.7011147103483184
FullSF,false,0.025,128,0.6827003641647833
FullSF,true,0.1,128,0.8350577917727907
FullSF,false,0.017677669529663688,256,0.7885328677761675
FullSF,true,0.1,256,0.8789354185701279
FullSF,false,0.0125,512,0.8712624492100436
FullSF,true,0.1,512,0.91949461243697
FullSF,false,0.008838834764831844,1024,0.9259237104064955
DiagSF,false,0.030151134457776365,88,0.6417678732018267
DiagSF,true,0.1,88,0.8732225951372524
DiagSF,false,0.02085144140570748,184,0.754261245886538
DiagSF,true,0.1,184,0.9111740921720222
BlockSF,false,0.030151134457776365,88,0.6329187956846757
DiagSF,false,0.014907119849998597,360,0.8416563752788179
BlockSF,true,0.1,88,0.773348189300407
DiagSF,true,0.1,360,0.8989400781947214
BlockSF,false,0.02085144140570748,184,0.748241409973609
DiagSF,false,0.010482848367219183,728,0.9055526679341492
FullSF,false,0.030151134457776365,88,0.6209243783319515
BlockSF,true,0.1,184,0.8740427580868314
DiagSF,true,0.1,728,0.9431331150700741
FullSF,true,0.1,88,0.7759504941555283
BlockSF,false,0.014907119849998597,360,0.8361024332950056
DiagSF,false,0.007432941462471664,1448,0.9472333882061932
BlockSF,true,0.1,360,0.8971617559384327
DiagSF,true,0.1,1448,0.9752725515547868
FullSF,false,0.02085144140570748,184,0.7429872172257244
BlockSF,false,0.010482848367219183,728,0.9067553052352254
FullSF,true,0.1,184,0.870050528093169
BlockSF,true,0.1,728,0.9433290438595344
BlockSF,false,0.007432941462471664,1448,0.9479915888480314
FullSF,false,0.014907119849998597,360,0.8344927113796806
BlockSF,true,0.1,1448,0.9757700382446348
FullSF,true,0.1,360,0.8928150769356207
DiagSF,false,0.05773502691896258,24,0.42556267496490774
DiagSF,true,0.1,24,0.4793353670565395
DiagSF,false,0.040824829046386304,48,0.5422163668816398
DiagSF,true,0.1,48,0.6900158509180457
BlockSF,false,0.05773502691896258,24,0.41388424018015263
BlockSF,true,0.1,24,0.4725010262156363
BlockSF,false,0.040824829046386304,48,0.5283052249005326
FullSF,false,0.05773502691896258,24,0.3956588005420462
FullSF,true,0.1,24,0.47273385133283996
BlockSF,true,0.1,48,0.6328197688677445
FullSF,false,0.040824829046386304,48,0.5131779800348262
FullSF,true,0.1,48,0.6308780715627408
